#name=My Vocab N4
#description=My JLPT N4
JP;JP_KANA;RU
頑張る;がんばる;держаться (до конца), не сдаваться, упорствовать
気;き;запах, аромат, испарения, воздух
機会;きかい;шанс, (благоприятный) случай
機械;きかい;машина, механизм, установка, прибор
危険;きけん;опасность
聞こえる;きこえる;слышаться, звучать, казаться, производить впечатление, мочь слышать
汽車;きしゃ;поезд
技術;ぎじゅつ;технология, мастерство, техника
季節;きせつ;время года, сезон
規則;きそく;правило, распорядок, устав
屹度;きっと;непременно, обязательно
絹;きぬ;шелк
厳しい;きびしい;строгий, требовательный, трудный
気分;きぶん;самочувствие, настроение, расположение духа
決まる;きまる;быть решенным, определенным
君;きみ;ты (обращение мужчин к женщинам)
決める;きめる;решать, определять, устанавливать, назначать
気持ち;きもち;самочувствие, настроение, расположение духа
着物;きもの;кимоно
客;きゃく;гость, посетитель, клиент
急（に）;きゅう;спешный, срочный
急行;きゅうこう;экспресс (транспорт)
教育;きょういく;воспитание, образование, обучение
教会;きょうかい;церковь
競争（する）;きょうそう（する）;соревнование, соперничество, конкуренция
興味;きょうみ;интерес, склонность
近所;きんじょ;близлежащая местность
具合;ぐあい;состояние, условия, состояние здоровья, образ действий
空気;くうき;воздух, атмосфера
空港;くうこう;аэропорт
草;くさ;трава
下さる;くださる;давать, дарить (вежл. о действиях 2 и 3 лица)
首;くび;шея, голова
雲;くも;облако
比べる;くらべる;сравнивать, сопоставлять
呉れる;くれる;давать, дарить (о действиях 2 или 3 лица в интересах 1 лица)
暮れる;くれる;подходить к концу (о времени), предаваться (размышлениям)
~君;くん;суффикс имен и фамилий к равным или нижестоящему
毛;け;волосы, шерсть
計画（する）;けいかく（する）;план, программа
警官;けいかん;полицейский
経験（する）;けいけん（する）;опыт (жизненный), практика
経済;けいざい;экономика
警察;けいさつ;полиция
怪我（する）;けが（する）;рана, травма, ушиб, ранить, травмировать
景色;けしき;вид, пейзаж
下宿（する）;げしゅく（する）;съемное жилище, пансион
決して;けっして;ни в коем случае, никогда
;けれど・けれども;однако, хотя, несмотря на то, что…
~軒;けん;сч. суф. для зданий
原因;げんいん;причина
喧嘩（する）;けんか（する）;спор, ссора, драка
研究（する）;けんきゅう（する）;изучение, исследование, научная работа
研究室;けんきゅうしつ;лаборатория
見物（する）;けんぶつ（する）;осмотр, экскурсия
子;こ;ребенок
こう;こう;так, таким образом
郊外;こうがい;пригород
講義;こうぎ;лекция
工業;こうぎょう;промышленность, индустрия
高校・高等学校;こうこう・こうとうがっこう;старшая школа
高校生;こうこうせい;старшеклассник
工場;こうじょう;завод, фабрика, мастерская
校長;こうちょう;директор школы
交通;こうつう;сообщение, связь, движение
講堂;こうどう;лекционный зал
公務員;こうむいん;госслужащий, чиновник
国際;こくさい;международный
心;こころ;сердце, душа
~御座居ます;ございます;быть (скромно о себе)
故障（する）;こしょう（する）;повреждение, поломка, неисправность, авария
御存知;ごぞんじ;знать (вежл. о 2-3 лице)
答え;こたえ;ответ, решение (задачи)
御馳走;ごちそう;угощение (вежл.)
;こっち;здесь, тут (разг.)
事;こと;дело, обстоятельства, факт, случай
小鳥;ことり;птичка
この間;このあいだ;недавно, в последнее время
此の頃;このごろ;(в) последнее время
細かい;こまかい;мелкий, маленький, тщательный
塵・芥;ごみ;сор, мусор, пыль
込む・混む;こむ;быть людным (переполненным)
米;こめ;рис
御覧になる;ごらんになる;смотреть (вежл. о 2 и 3 лице)
此れから;これから;сейчас, теперь, отныне, впредь
怖い;こわい;страшный, жуткий, ужасный
壊す;こわす;ломать, разбивать, портить
壊れる;こわれる;ломаться, разбиваться
;コンサート;концерт
今度;こんど;(на) этот раз, недавно, (в) следующий раз
今夜;こんや;сегодня ночью
最近;さいきん;(в) последнее время
最後;さいご;конец, последний раз
最初;さいしょ;в начале, сперва
財布;さいふ;кошелек, бумажник
探す・捜す;さがす;искать, разыскивать
下がる;さがる;опускаться, падать, понижаться
盛ん;さかん;широко распространенный, модный, развитой
下げる;さげる;спускать, опускать, понижать, вешать, подвешивать, убирать
差し上げる;さしあげる;преподносить, дарить
;さっき;недавно, только что, ранее
寂しい;さびしい;грустный, унылый, печальный, безлюдный, пустынный
~様;さま;суф вежливого обращения (господин, госпожа)
再来月;さらいげつ;через месяц
再来週;さらいしゅう;через неделю
騒ぐ;さわぐ;шуметь
触る;さわる;(при)касаться, трогать
;サンダル;сандалии
;サンドイッチ;бутерброд
残念;ざんねん;досадный, вызывающий сожаление
字;じ;буква, иероглиф, знак
試合;しあい;соревнование, матч, игра
仕方;しかた;способ, метод
叱る;しかる;бранить, ругать, упрекать
~式;しき;стиль…, тип…, вид…
試験;しけん;экзамен, испытание, проверка
事故;じこ;происшествие, несчастный случай
地震;じしん;землетрясение
時代;じだい;время, времена, эпоха
下着;したぎ;нижнее белье
支度（する）;したく（する）;приготовление, подготовка, сборы (в дорогу)
確り;しっかり;твердо, крепко, надежно (то) 
失敗（する）;しっぱい（する）;неудача, провал
失礼（する）;しつれい（する）;невежливость, грубость, извините
辞典;じてん;словарь
品物;しなもの;товар
暫く;しばらく;(на) некоторое время, немного, долго, длительное время
島;しま;остров
事務所;じむしょ;контора, офис
社会;しゃかい;общество
社長;しゃちょう;начальник, директор
邪魔;じゃま;помеха, препятствие
;ジャム;джем
自由;じゆう;свобода
習慣;しゅうかん;обычай, привычка
住所;じゅうしょ;местожительство, адрес
柔道;じゅうどう;дзюдо (национальное боевое искусство)
十分;じゅうぶん;достаточный
出席（する）;しゅっせき（する）;присутствие, посещение
出発（する）;しゅっぱつ（する）;отъезд, отправление, выход, вылет
趣味;しゅみ;вкус к ч-л, интерес, склонность, хобби
準備（する）;じゅんび（する）;подготовка, приготовление
紹介（する）;しょうかい（する）;знакомство, представление, ознакомление
正月;しょうがつ;Новый Год, январь
小学校;しょうがっこう;начальная школа
小説;しょうせつ;роман, повесть, рассказ, художественная литература
招待（する）;しょうたい（する）;приглашение
承知（する）;しょうち（する）;согласие, дозволение, осведомленность
将来;しょうらい;будущее, грядущее
食事（する）;しょくじ（する）;еда, есть
食料(品);しょくりょう(ひん);продукты питания, продовольственные товары
女性;じょせい;женский пол, женщина, женский род
知らせる;しらせる;извещать, ставить в известность
調べる;しらべる;расследовать, исследовать, проверять, смотреть в словаре
人口;じんこう;население, численность населения
神社;じんじゃ;синтоистское святилище
親切;しんせつ;сердечный, добрый
心配（する）;しんぱい（する）;беспокойство, тревога, опасения
新聞社;しんぶんしゃ;газетное издательство
水泳;すいえい;плавание
水道;すいどう;водопровод
随分;ずいぶん;очень, весьма, довольно-таки
数学;すうがく;математика
;スーツケース;чемодан, дорожная сумка
過ぎる;すぎる;проходить мимо, проходить (о времени), истекать, превышать
~過ぎる;すぎる;чрезмерно, чересчур, слишком
空く;すく;быть пустым, свободным, проголодаться
少ない;すくない;мало, немного, малочисленный
