#name=My Vocab TORFL A1
#description=My TORFL
RU;JP
лёгкий;<軽い|かるい>
лёгкий;<易しい|やさしい>
легко;<楽に|らくに>
лекарство;<薬|くすり>
лекция;<講義|こうぎ>
лето;<夏|なつ>
летом;<夏に|なつに>
литература;<文学|ぶんがく>
любимый;<好きな|すきな>
любить;<愛してる|あいしてる>
люди;<人たち|ひとたち>
магазин;<店|みせ>
магнитофон;テープレコーダー
май;<５月|ごがつ>
маленький;<小さい|ちさい>
мало;<少し|すこし>
мальчик;<男の子|おとこのこ>
мама;<母|はは>
марка;<切手|きって>
март;<３月|さんがつ>
математик;<数学者|すうがくしゃ>
математика;<数学|くがく>
мать;<お母さん|おかあさん>
машина;<車|くるま>・<自動車|じどうしゃ>
медленно;ゆっくり
медсестра;<看護婦|かんごふ>
место;<所|ところ>
месяц;<月|つき>
метро;<地下鉄|ちかてつ>
милиция;<警察|けいさつ>
минута;<分|ぶん>
много;<沢山|たくさん>
может быть;<多分|たぶん>
можно;てもいい
мой;<私の|わたしの>
молодой (человек);<若い|わかい>
молоко;<牛乳|ぎゅうにゅう>・ミルク
море;<海|うみ>
мороженое;アイスクリーム
москвич;<モスクワ子|モスクワこ>（男）
москвичка;<モスクワ子|モスクワこ>（女）
мочь;できる
муж;<夫|おっと>
мужчина;<男性|だんせい>
музей;<博物館|はくぶつかん>
музыка;<音楽|おんがく>
мы;<私たち|わたしたち>
на;…<の上に|のうえに>
называться;…<と言う|とうい>
написать;<書く|かく>
например;<例えば|たとえば>
нарисовать;<描く|かく>
наука;<科学|かがく>
находиться;<有る|ある>・<居る|いる>
начало;<初め|はじめ>
наш;<私たちの|わたしたちの>
не;ない
не только, но и;…だけじゃなくて…
недавно;<この間|このあいだ>
недалеко;<近くに|ちかくに>
неделя;<週|しゅう>
нельзя;<出来ない|できない>
нет;いいえ
ничего;何も
но;でも
новый;<新しい|あたらしい>
ноль;ゼロ・<零|れい>
номер;<番号|ばんご>
ночь;<夜|よる>
ночью;<夜に|よるに>
ноябрь;<１１月|じゅういち月>
о (об);について
обед;<昼食|ちゅうしょく>
обедать;<昼食を食べる|ちゅうしょくをたべる>
общежитие;<寮|りょう>
обычно;<普通|ふつう>
обязательно;<必ず|かならず>
один;<１|いち>・<１つ|ひとつ>
одиннадцатый;<第１１|だいじゅういち>
одиннадцать;<１１|じゅういち>
окно;<窓|まど>
октябрь;<１０月|じゅうがつ>
