#name=My Kanji N3
#description=My JLPT N3
KANJI;ONKUN;RUS
両;リョウ;оба, японская монета
丸;ガン・まる(い)・まる・まる(める);круглый, круг, делать округлым
久;キュウ・ひさ(しい);долгий
予;ヨ・あらかじ(め);заранее
争;ソウ・あらそ(う);бороться, спорить, ссориться
交;コウ・まじ(わる)・まじ(える)・ま(ざる)・ま(ぜる);пересекаться, общаться, обмениваться, быть смешанным, смешивать
仏;ブツ・フツ・ほとけ;Будда, покойник, Франция
他;タ・ほか;другой
付;フ・つ(ける)・つ(く);прикреплять, присоединять, быть прикрепленным, прилипать
令;レイ;приказ, команда
仲;チュウ・なか;посредник, отношения
件;ケン・くだん(の);происшествие, случай, инцидент, вышеупомянутый
任;ニン・まか(せる)・まか(す);назначение, поручать, доверять
似;ジ・に(る);похожий, быть похожим
位;イ・くらい;ранг, чин, звание
余;ヨ・あま(り)・あま(る);излишек, слишком, оставаться в излишке
例;レイ・たと(える);пример, уподоблять
係;ケイ・かかり・かか(る)・かか(わる);ответственный, ответственность, быть чьим-л произведением, иметь отношение
信;シン;верить, доверять
個;コ・カ;индивидуальный, сч. суф. мелких предметов (штука)
倒;トウ・たお(れる)・たお(す);падать, валиться, валить, рушить
候;コウ;погода, климат
停;テイ・と(まる)・と(める);временно останавливаться, тормозить, останавливать
側;ソク・かわ・がわ・そば;сторона
備;ビ・そな(え)・そな(える)・そな(わる);приготовления, оборудовать, быть обеспеченным
像;ゾウ;изображение
優;ユウ・やさ(しい)・すぐ(れる)・まさ(る);превосходный, добрый, ласковый, превосходить 
兆;チョウ・きざ(し)・きざ(す);триллион, ростки, симптом, прорастать, проявляться
共;キョウ・とも;вместе с кем-л
具;グ・そな(える);принадлежности, орудие, оборудовать чем-либо
再;サイ・サ・ふたた(び);вторично, повторно
冷;レイ・つめ(たい)・ひ(える)・ひ(やす)・ひ(やかす);холодный, бессердечный, охлаждаться, остужать, подтрунивать
刊;カン;издание, выпуск
列;レツ;ряд, шеренга
初;ショ・はじ(め)・はじ(めて);первый, начальный, впервые
判;ハン・バン・はん(じる)・わか(る);личная печать, судить о чем-либо, разбираться
制;セイ・せい(する);система, держать под контролем
刷;サツ・す(る);печатать
刻;コク・きざ(む);гравировать, вырезать
則;ソク・のり・のっと(る);правило, следовать, придерживаться
副;フク;вспомогательный, копия, дубликат
割;カツ・わ(る)・わり・わ(れる);разделять, делить, расчет, соотношение, 10%, ломаться, разбиваться
加;カ・くわ(える)・くわ(わる);добавлять, прилагать, присоединяться, прибавляться
助;ジョ・たす(ける)・たす(かる);спасать, выручать, спасаться, сохраняться о деньгах
努;ド・つと(める);стараться, прилагать усилия
労;ロウ;труд
務;ム・つと(める);дела, исполнять обязанности
勝;ショウ・か(つ)・まさ(る)・すぐ(れる);побеждать, превосходить
勢;セイ・ゼイ・いきお(い);энергия, сила, мощь
包;ホウ・つつ(む)・くる(む);обёртывать, заворачивать, закутывать
化;カ・ケ・ば(ける)・ば(かす);превращаться, принимать чей-л облик, околдовывать, обольщать
卒;ソツ;солдат, рядовой, выпускник
協;キョウ;сотрудничество
単;タン・たん(に);одиночный, просто, только
印;イン・しるし;печать, штамп, знак, символ
危;キ・あぶ(ない)・あや(うい)・あや(ぶむ);опасный, опасаться
厚;コウ・あつ(い);толстый (о книгах), добрый, сердечный
原;ゲン・はら・もと;равнина, поле, степь, основа, начало
参;サン・まい(る);участвовать, идти (скромно о себе)
反;ハン・タン・そ(る);против, анти-, изгибаться
可;カ;одобрять, допустимо
史;シ;история
号;ゴウ;номер
各;カク・おのおの;каждый
向;コウ・む(く)・む(ける)・む(かう)・む(こう);направленность, быть направленным, годиться, поворачивать, быть обращенным, та сторона
君;クン・きみ;ты
吸;キュウ・す(う);сосать, вдыхать, втягивать, курить
吹;スイ・ふ(く);дуть
告;コク・つ(げる);объявлять, сообщать
周;シュウ・まわ(り);кружиться, окружность, круг
命;メイ・ミョウ・いのち;приказ, жизнь
和;ワ・やわ(らぐ)・やわ(らげる);гармония, Япония, смягчаться, смягчать
商;ショウ・あきな(う);коммерция, торговать, вести дело
喜;キ・よろこ(び)・よろこ(ぶ);радость, радоваться
営;エイ・いとな(み)・いとな(む);бизнес, дело, заниматься бизнесом, управлять
器;キ・うつわ;сосуд
因;イン・よ(る)・ちな(む);причина, проистекать из чего-л, быть в связи с чем-л
団;ダン・トン;группа, коллектив
囲;イ・かこ(む)・かこ(う)・かこ(い);окружать, обносить оградой, ограда
固;コ・かた(い)・かた(める)・かた(まる)・かた(まり);твердый, делать твердым, затвердевать, ком, глыба
在;ザイ・あ(る);находиться, быть
