#name=My Kanji N3
#description=My JLPT N3
KANJI;ONKUN;RUS
坂;ハン・さか;склон, подъем
型;ケイ・かた;тип, форма, модель, фасон
報;ホウ・むく(いる);информация, вознаградить, отплатить
境;キョウ・さかい;граница, край, местность
増;ゾウ・ま(す)・ふ(える)・ふ(やす);увеличивать(ся), прибавлять(ся), увеличиваться, увеличивать
夢;ム・ゆめ;сон, мечта
夫;フ・フウ・おっと;муж
失;シツ・うしな(う)・しつ;терять, убыток, ошибка
妻;サイ・つま;жена
婚;コン;свадьба, замужество
婦;フ・よめ;дама, замужняя женщина, невеста, невестка
季;キ;время года, сезон
孫;ソン・まご;внук
守;シュ・まも(る);охранять, защищать, соблюдать
完;カン;завершение, окончание, полнота, совершенство
官;カン;чиновник, государственная служба
定;テイ・ジョウ・さだ(める)・さだ(まる);определять, устанавливать, быть определенным, быть решенным
実;ジツ・み・みの(る);настоящий, плод, суть, плодоносить, созревать
客;キャク;гость, клиент, пассажир, посетитель
害;ガイ;вред
容;ヨウ・い(れる)・かたち;вмещать, принимать, форма, вид
宿;シュク・やど・やど(る); гостиница, оставаться на ночь
寄;キ・よ(る)・よ(せる);подходить, заходить, собираться, приближать, подпускать, созывать
富;フ・と(み)・と(む);богатство, быть богатым
察;サツ・さっ(する)・さっ(し);инспектировать, предполагать, догадка, сочувствие
寺;ジ・てら;буддийский храм
対;タイ・ツイ;против, быть направленным против, пара, комплект
導;ドウ・みちび(く);вести, направлять, руководить
局;キョク;бюро, управление, департамент, телефонная или почтовая станция
居;キョ・い(る)・お(る);проживать, быть, находиться
岩;ガン・いわ;скала, утес
岸;ガン・きし;берег
島;トウ・しま;остров
州;シュウ・ス・す;провинция, штат, отмель
差;サ;разница
布;フ・ぬの;ткань, материя
希;キ・まれ・こいねが(う);редкий, просить, молить
師;シ;учитель, военный, суф. профессии
帯;タイ・おび・お(びる);пояс, носить (меч и т.п.), иметь привкус
常;ジョウ・つね;обычный, постоянный
平;ヘイ・たい(ら)・ひら;плоский, ровный
幸;コウ・さいわ(い)・さち・しあわ(せ);счастье, удача
底;テイ・そこ;дно
府;フ;правительство, город со статусом префектуры
庫;コ・ク・くら;склад, кладовая
庭;テイ・にわ;двор, сад
式;シキ;формула, тип, модель, стиль, церемония
当;トウ・あ(たる)・あ(てる);данный, попадать, быть угаданным, попадать, угадывать
形;ケイ・ギョウ・かた・かたち;форма, фигура
役;ヤク・エキ;роль, обязанности
彼;ヒ・かれ;он
徒;ト・いたずら;последователь, ученик, напрасно, попусту
得;トク・え(る)・う(る);прибыль, получать
御;ゴ・ギョ・お-・おん-・み-;префикс вежливости
必;ヒツ・かなら(ず);обязательно, непременно
忙;ボウ・いそが(しい);занятой
念;ネン;мысль, сознание, чувство, внимание, забота
怒;ド・いか(り)・おこ(る);гнев, сердиться
性;セイ・ショウ;характер, пол, качество
息;ソク・いき;дыхание, вздох
悲;ヒ・かな(しい)・かな(しむ);печальный, грустный, печалиться
情;ジョウ・なさ(け);чувство, жалость, сострадание
想;ソウ・おも(う);представлять себе, думать
愛;アイ・いと(しい);любовь, любимый, дорогой, бедный, жалкий
感;カン・かん(じ);чувство, ощущение, впечатление
慣;カン・な(れる)・な(らす);обыкновение, привыкать, приучать
成;セイ・な(る)・な(す);становиться, делаться, образовывать
戦;セン・たたか(う);война, сражаться, биться, бороться
戸;コ・と;дверь
戻;レイ・もど(す)・もど(る);возвращать, возвращаться
才;サイ;талант, возраст с числами
打;ダ・う(つ);бить, ударять
払;フツ・はら(う);платить
技;ギ・わざ;мастерство, искусство, умение
投;トウ・な(げる);бросать, кидать
折;セツ・お(る)・お(れる);сгибать, ломать, ломаться, быть сломанным
招;ショウ・まね(く);приглашать, звать, навлекать
指;シ・ゆび・さ(す);палец, указывать
探;タン・さが(す)・さぐ(る);искать, шарить, разведывать
接;セツ・つ(ぐ);соединять, скреплять
支;シ・ささ(える)・つか(える);филиал, подпирать, поддерживать, застревать, стопориться
改;カイ・あらた(める)・あらた(まる);изменять, улучшать, изменяться, обновляться, улучшаться
放;ホウ・はな(す)・はな(つ)・はな(れる)・ほう(る);отпускать, выпускать, быть выпущенным, бросать 
政;セイ;политика
敗;ハイ・やぶ(れる);поражение, терпеть поражение, быть разбитым
散;サン・ち(らす)・ち(らかす)・ち(らかる)・ち(る);разбрасывать, разбрасывать как попало, быть разбросанным, рассыпаться, осыпаться
数;スウ・かず・かぞえる;число, считать
断;ダン・た(つ)・ことわ(る);прерывать, отрезать, отказывать, запретить, предупредить, извиниться, попросить разрешения
易;エキ・イ・やさ(しい)・やす(い);гадание, предсказание, легкий, простой
昔;セキ・むかし;прошлое, старина
星;セイ・ほし;звезда
昨;サク;вчера, прошлый…
晩;バン;вечер
景;ケイ;пейзаж, вид
晴;セイ・は(れ)・は(れる);ясная погода, проясняться
曲;キョク・ま(げる)・ま(がる);мелодия, сгибать, искривлять, сгибаться, искривляться
最;サイ・もっと(も);самый
望;ボウ・のぞ(む);надеяться, желать
期;キ・ゴ;срок, период
未;ミ・ま(だ)・いま(だ);пока еще не…, никогда еще
末;マツ・バツ・すえ;окончание, конец
材;ザイ;материал, лесоматериал
束;ソク・たば・たば(ねる);пучок, связка, связывать в пучок, управлять
板;ハン・バン・いた;доска, плита
果;カ・はたす・はてる・はて;плод, выполнять, осуществлять, заканчиваться, конец, край
査;サ;проверять, расследовать
栄;エイ・さか(える)・は(える);расцвет, величие, процветать, блистать, сверкать
根;コン・ね;корень
格;カク;разряд, ранг, положение
検;ケン・しら(べる);проверять, расследовать
極;キョク・ゴク・きわ(める)・きわ(まる);полюс, высшая точка, доводить до крайности, доходить до предела
構;コウ・かま(える)・かま(う);структура, устраивать, принимать положение, беспокоиться
様;ヨウ・さま;способ, манера, как, такой, господин, госпожа
横;オウ・よこ;горизонтальный, поперечник, ширина, боковая сторона
橋;キョウ・はし;мост
機;キ・はた;механизм, удобный случай, самолет, ткацкий станок
欠;ケツ・あくび・か(ける)・か(く);недостача, зевота, не хватать, недоставать, нуждаться
次;ジ・シ・つ(ぎ)・つ(ぐ);следующий, следовать за…
武;ブ・ム;военный, военное дело
歯;シ・は;зуб
段;ダン;ступень, ступенька, стадия
殺;サツ・ころ(す)・そ(ぐ);убивать, отрезать, портить
比;ヒ・くら(べる);сравнивать, Филиппины
毛;モウ・け;шерсть, волосы
氷;ヒョウ・こおり;лёд
求;キュウ・もと(める);требовать, просить, искать (работу), домогаться
河;カ・かわ;река
油;ユ・あぶら;масло (растительное и техническое)
治;ジ・チ・なお(す)・おさ(める)・おさ(まる)・なお(る);лечить, руководить, быть спокойным, стихать, выздоравливать
法;ホウ・のり;закон, правило, принцип
波;ハ・なみ;волна
泣;キュウ・な(く);плакать
活;カツ・い(きる)・い(かす)・い(ける);живой, жить, быть живым, оживлять, расставлять цветы
流;リュウ・なが(れ)・なが(れる)・なが(す);течение, течь, пускать по течению, лить (слезы) 
浴;ヨク・あ(びる);купаться, обливаться, принимать душ
深;シン・ふか(い)・ふか(まる)・ふか(める);глубокий, углубляться, углублять
混;コン・ま(ぜる)・ま(じる)・ま(ざる);смешивать, подмешивать, быть смешанным
温;オン・あたた(かい)・あたた(まる)・あたた(める);теплый, согреваться, греть, разогревать
測;ソク・はか(る);измерять, мерить, взвешивать
港;コウ・みなと;порт, гавань
湖;コ・みずうみ;озеро
湯;トウ・ゆ;горячая вода, горячий источник, баня
満;マン・み(ちる)・み(たす);полный, наполняться, наполнять
準;ジュン;неполный, норма, подготовка
演;エン;исполнять (на сцене), совершать
点;テン・つ(ける)・つ(く);точка, отметка, зажигать свет, включать, включаться, загораться 
無;ム・ブ・な(い);без, не быть, не иметься
然;ゼン・ネン・しか(し);так, однако, тем не менее
焼;ショウ・や(く)・や(ける);сжигать, жарить, гореть, жариться
熱;ネツ・あつ(い);горячий, температура
犯;ハン・おか(す);преступник, нарушать, совершать преступление
状;ジョウ;форма, положение, состояние, вид, послание
独;ドク・ひと(り);сам, один, Германия
率;ソツ・リツ・ひき(いる);показатель, предводительствовать
玉;ギョク・たま;драгоценный камень, шар, мяч
王;オウ;монарх, король
現;ゲン・あらわ(す)・あらわ(れる);действительный, проявлять, выражать, проявляться, выявляться
球;キュウ・たま;мяч, шар, шарик, бусинка
由;ユウ・よし;причина, основание, способ
申;シン・もう(す)・さる;докладывать, говорить, называться (о себе), Обезьяна
留;リュウ・と(める)・とど(める)・と(まる)・とど(まる);пребывать, задерживать,останавливать, задерживаться, останавливаться
略;リャク・ほぼ;сокращение, аббревиатура, почти
番;バン・つがい;номер, сторож, пара (самец и самка)
疲;ヒ・つか(れる);уставать
痛;ツウ・いた(み)・いた(い)・いた(む);боль, больно, болеть
登;トウ・ト・のぼ(る);взбираться, подниматься
的;テキ・まと;цель, суф. прилагательных
皆;カイ・みな・みんな;все
皮;ヒ・かわ;кожа, кожура, скорлупа
皿;ベイ・さら;тарелка
直;チョク・ジキ・なお(す)・なお(る)・すぐ;прямой, исправлять, лечить, поправляться, сразу же, скоро
相;ソウ・ショウ;взаимный
省;セイ・ショウ・かえり(みる)・はぶ(く);министерство, рефлексия, всматриваться в себя, исключать, сокращать
石;セキ・いし;камень
破;ハ・やぶ(る)・やぶ(れる);ломать, разбивать, разбиваться, разрушаться
確;カク・たし(か)・たし(かめる);определенный, достоверный, несомненный, уточнять, удостоверяться
示;ジ・シ・しめ(す);указывать, показывать
礼;レイ;этикет, поклон, вежливость, благодарность
祝;シュク・いわ(う);праздновать, поздравлять
神;シン・ジン・かみ;Бог
祭;サイ・まつ(り)・まつ(る);праздник, праздновать
禁;キン;запрет
科;カ;отделение, факультет, курс
移;イ・うつ(る)・うつ(す);переезжать, переезжать, заражаться, перемещать, заражать
程;テイ・ほど;мера
種;シュ・たね;разновидность, косточка, семя, тема
積;セキ・つ(む)・つ(もる)・つ(もり);нагромождать, нагромождаться, намерение, ожидание, мат. произведение, площадь
章;ショウ;эмблема, глава, значок
競;キョウ・きそ(う);состязаться, соперничать
竹;チク・たけ;бамбук
笑;ショウ・わら(い)・わら(う)・え(む);смех, смеяться, улыбаться
筆;ヒツ・ふで;кисть (для письма или рисования)
等;トウ・ひと(しい)・など;равный, одинаковый, класс, итд
算;サン・さんする;вычислять, счет, расчет
管;カン・くだ;труба
箱;ソウ・はこ;ящик, коробка
築;チク・きず(く);строительство, строить, сооружать
米;ベイ・マイ・こめ;рис, Америка, метр
精;セイ・ショウ;жизненная энергия
糸;シ・いと;нить
約;ヤク;приблизительно, обещание
級;キュウ;разряд, ранг, класс
細;サイ・こま(かい)・ほそ(い)・ほそ(る);мелкий, подробный, тонкий, узкий, сужаться 
組;ソ・く(み)・く(む);группа, команда, составлять, объединяться
経;ケイ・キョウ・へ(る)・た(つ);проходить через ч-л, сутра, проходить (о времени)
結;ケツ・むす(ぶ)・ゆ(う);узел, связывать, завязывать, делать прическу
給;キュウ・たま(う);снабжать, жаловать, дарить
絵;カイ;картина, рисунок
絶;ゼツ・た(える)・た(やす)・た(つ);прекращаться, пресекать, уничтожать, прерывать
緑;リョク・みどり;зеленый, зелень
編;ヘン・あ(む);вязать, плести, составлять
績;セキ;достижения, заслуги
罪;ザイ・つみ;преступление, грех, вина
置;チ・お(く);класть
美;ビ・うつく(しい);красивый
羽;ウ・は・はね・〜わ;перья, перо, крылья, сч. суф. птиц и кроликов
老;ロウ・お(いる)・ふ(ける);старик, быть старым, стареть
職;ショク;должность, профессия
育;イク・そだ(てる)・そだ(つ);воспитывать, растить, воспитываться, расти
胃;イ;желудок
背;ハイ・せ・せい;спина, рост
能;ノウ・よく;способность
臣;シン・ジン;вассал, подданный
航;コウ;курсировать
船;セン・ふね・ふな-;судно
良;リョウ・よ(い)・い(い);хороший
芸;ゲイ;искусство, мастерство, талант
若;ジャク・わか(い)・も(しくは);молодой, или же, или
苦;ク・にが(い)・くる(しい)・くる(しむ)・くる(しめる);горький, мучительный, мучаться, мучать
草;ソウ・くさ;трава
荷;カ・に;ноша, груз, багаж
葉;ヨウ・は;лист, листва
虫;チュウ・むし;насекомое, червь, паразиты
血;ケツ・ち;кровь
術;ジュツ・すべ;искусство, умение, техника
表;ヒョウ・あらわ(す)・あらわ(れる)・おもて;выражать, выражаться, лицевая сторона
製;セイ;изготовлять, сделано в…
複;フク;двойной, сложный
要;ヨウ・い(る);требоваться, быть нужным, главное, суть
規;キ;правило
覚;カク・おぼ(える)・さ(ます)・さ(める)・さと(る);ощущение, запоминать, просыпаться, отрезвлять, утрачивать иллюзии, осознавать
観;カン・み(る);осматривать, внешний вид, взгляд
角;カク・かど;внешний угол
解;カイ・ゲ・と(く)・と(かす)・と(ける);развязывать, разгадывать, расчесывать волосы, развязываться, разгадываться
訓;クン;наставление, поучение, японское чтение иероглифа
記;キ・しる(す);записывать
許;キョ・ゆる(す);разрешать, позволять, прощать
認;ニン・みと(める);признавать, одобрять, разрешать
課;カ;отдел, секция, урок, задание
談;ダン;разговор, беседа
論;ロン;теория, мысли, рассуждения, полемика
講;コウ;лекция
識;シキ;сознание
議;ギ;обсуждение, рассмотрение
谷;コク・たに;долина, лощина, ущелье
豊;ホウ・ゆた(か);обильный, богатый
象;ショウ・ゾウ・かたど(る);явление, слон, уподобляться, подражать
負;フ・ま(ける)・ま(かす)・お(う);отрицательный, проигрывать, побеждать, нести на спине
財;ザイ;финансы
責;セキ・せ(める);ответственность, упрекать, укорять
費;ヒ・つい(やす);расходы, тратить, расходовать
資;シ;капитал, средства, ресурсы
賛;サン;одобрять
路;ロ・みち;дорога, путь
身;シン・み;тело, сам (человек), душа
軍;グン;армия, войска
輪;リン・わ;колесо, круг, кольцо
農;ノウ;земледелие
辺;ヘン・あたり;окрестности, район, ближайшее окружение
迷;メイ・まよ(う);заблудиться, быть растерянным
追;ツイ・お(う);преследовать, гнать, выгонять
退;タイ・しりぞ(く)・しりぞ(ける)・の(く);отступать, отгонять, отстранять, уступать дорогу
速;ソク・はや(い)・はや(める);скорость, быстрый, скорый, ускорять
遊;ユウ・あそ(ぶ)・あそ(ばす);развлекаться, играть, соизволить
過;カ・す(ぎる)・す(ごす)・あやま(つ)・あやま(ち);превышать, проходить мимо, проводить время, совершить ошибку, ошибка
達;タツ・たっ(する);достигать, доходить
違;イ・ちが(う)・ちが(い)・ちが(える);отличаться, быть другим, различие, изменять, перепутывать
適;テキ・かな(う);надлежащий, соответствовать, подходить
選;セン・えら(ぶ);выбирать
配;ハイ・くば(る);распределять, раздавать, рассылать
酒;シュ・さけ;сакэ, спиртное
録;ロク;запись
関;カン・せき・かか(わる);застава, барьер, иметь отношение
限;ゲン・かぎ(り)・かぎ(る);предел, ограничивать
陸;リク・ロク;суша, земля
険;ケン・けわ(しい);обрывистый, крутой
陽;ヨウ;солнце, Ян, положительный
階;カイ;этаж, лестница, уровень
際;サイ・きわ;рубеж, край, конец
雑;ザツ・ゾウ・まじ(える)・ま(じる);всякого рода, смешивать, быть смешанным
雪;セツ・ゆき;снег
雲;ウン・くも;туча, облако
静;セイ・しず(か)・しず(まる)・しず(める);тихий, спокойный, успокаиваться, успокаивать
非;ヒ・あら(ず);не, не есть (быть)
面;メン・おも・おもて・つら;лицо, лицевая сторона, физиономия
願;ガン・ねが(い)・ねが(う);просьба, мольба, просить, молить
類;ルイ・たぐい;сорт, вид
飛;ヒ・と(ぶ)・と(ばす);летать, прыгать, пускать по воздуху, гнать
馬;バ・うま;лошадь
鳴;メイ・な(く)・な(る)・な(らす);чирикать, петь, звучать, раздаваться, воспроизводить звук
鼻;ビ・はな;нос
