#name=My Vocab N5
#description=My JLPT N5
JP;JP_KANA;RU
牛肉;ぎゅうにく;говядина
牛乳;ぎゅうにゅう;молоко
今日;きょう;сегодня
教室;きょうしつ;класс, аудитория
兄弟;きょうだい;братья и сестры
去年;きょねん;прошлый год
嫌い;きらい;нелюбовь, антипатия, нелюбимый
切る;きる;резать, прерывать
着る;きる;надевать одежду
;きれい;красивый, чистый
;キロ・キログラム;килограмм
;キロ・キロメートル;километр
銀行;ぎんこう;банк
金曜日;きんようび;пятница
九;く;девять
薬;くすり;лекарство
下さい;ください;пожалуйста
果物;くだもの;фрукты
口;くち;рот, губы
靴;くつ;обувь, ботинки
靴下;くつした;носки
国;くに;страна, государство
曇る;くもる;становиться пасмурным
暗い;くらい;темный, мрачный, несведущий
〜位;くらい・ぐらい;приблизительно…
;クラス;класс
来る;くる;приходить
車;くるま;автомобиль, телега, вагон
黒・黒い;くろ・くろい;черный цвет, черный
警官;けいかん;полицейский
今朝;けさ;сегодня утром
消す;けす;тушить, гасить, выключать, стирать
結構;けっこう;прекрасный, великолепный, достаточно
結婚;けっこん;брак, женитьба, замужество
月曜日;げつようび;понедельник
玄関;げんかん;прихожая, передняя, холл
元気;げんき;бодрость, хорошее настроение, здоровье
〜個;こ;…штук (для мелких предметов)
〜語;ご;…язык (название языка)
五;ご;пять
公園;こうえん;общедоступный парк
交差点;こうさてん;перекресток
紅茶;こうちゃ;черный чай
交番;こうばん;полицейский пост
声;こえ;голос
;コート;пальто
;コーヒー;кофе
;ここ;здесь (рядом с говорящим)
午後;ごご;вторая половина дня, после полудня
九日;ここのか;девятое число, девять дней
九つ;ここのつ;девять
御主人;ごしゅじん;хозяин, господин
午前;ごぜん;до полудня, первая половина дня
答える;こたえる;отвечать
;ごちそうさまでした;спасибо за угощение
;こちら;это лицо, этот путь (рядом с говорящим)
;こっち;этот путь, сюда (рядом с говорящим)
;こちらこそ;мне тоже приятно
;コップ;стакан, бокал
今年;ことし;этот год
言葉;ことば;слово, слова, язык, речь
子供;こども;ребенок, дети
;この;этот… (рядом с говорящим)
御飯;ごはん;вареный рис, еда
困る;こまる;быть в затруднении
;コピーする;копировать
;ごめんください;извините, можно войти?
;ごめんなさい;извините
;これ;это (рядом с говорящим)
〜頃;ころ・ごろ;примерно в… (время)
今月;こんげつ;этот месяц
今週;こんしゅう;эта неделя
;こんな;такой, подобный
今日は;こんにちは;добрый день!
今晩;こんばん;этот вечер, сегодня вечером
今晩は;こんばんは;добрый вечер!
;さあ;ну, ну-ка, ну-вот
〜歳;さい;…лет (возраст)
財布;さいふ;кошелек
魚;さかな;рыба
先;さき;впереди, дальше, острие, кончик
咲く;さく;цвести, расцветать
作文;さくぶん;сочинение
差す;さす;раскрывать над собой зонтик, протягивать руку
〜冊;さつ;сч. суф. для книг
雑誌;ざっし;журнал
砂糖;さとう;сахар
寒い;さむい;холодный
;さよなら・さようなら;до свидания (надолго)
再来年;さらいねん;через год
;〜さん;господин…, госпожа… (при обращении)
三;さん;три
散歩;さんぽ;прогулка
四;し;четыре
〜時;じ;…час
塩;しお;соль
然し;しかし;но, однако
時間;じかん;время
〜時間;じかん;…часов
仕事;しごと;работа, занятие
辞書;じしょ;словарь
静か;しずか;тихий, спокойный
下;した;низ, снизу
七;しち・なな;семь
質問;しつもん;вопрос
失礼しました;しつれいしました;извините за грубость
失礼します;しつれいします;извините (перед обращением, уходом, прежде чем войти)
自転車;じてんしゃ;велосипед
自動車;じどうしゃ;автомобиль
死ぬ;しぬ;умирать
字引;じびき;словарь
自分;じぶん;сам
閉まる;しまる;быть закрытым
締める;しめる;завязывать, затягивать, экономить
閉める;しめる;закрывать, запирать
;じゃ・じゃあ;ну тогда, в таком случае
写真;しゃしん;фотография
;シャツ;мужская рубашка
;シャワー;душ
十;じゅう;десять
〜週間;しゅうかん;…недель
授業;じゅぎょう;урок, занятие
宿題;しゅくだい;домашнее задание
上手;じょうず;умелый, искусный
丈夫;じょうぶ;здоровый, крепкий, прочный
醤油;しょうゆ;соевый соус
食堂;しょくどう;столовая
知る;しる;знать
白・白い;しろ・しろい;белый цвет, белый
〜人;じん;суф. национальности
新聞;しんぶん;газета
水曜日;すいようび;среда
吸う;すう;вдыхать, втягивать, сосать
;スカート;юбка
好き;すき;любимый, нравящийся
〜過ぎ;すぎ;после…, сверх…
直ぐに;すぐに;сразу, немедленно, скоро
少し;すこし;немного, немножко
涼しい;すずしい;прохладный, освежающий
〜ずつ;ずつ;по… (после числ.)
;ストーブ;металлическая печка
;スプーン;ложка
;スポーツ;спорт
;ズボン;брюки
;すみません;извините, прошу прощения, виноват
住む;すむ;жить, проживать
;スリッパ;тапочки
;する;делать
座る;すわる;сидеть, садиться
背;せ・せい;рост
生徒;せいと;ученик
;セーター;свитер
石鹸;せっけん;мыло
背広;せびろ;мужской костюм
狭い;せまい;узкий, тесный
;ゼロ;ноль
千;せん;тысяча
先月;せんげつ;прошлый месяц
先週;せんしゅう;прошлая неделя
先生;せんせい;учитель
洗濯;せんたく;стирка
全部;ぜんぶ;все, целиком
掃除;そうじ;уборка
;そうして・そして;и…, так же…
;そこ;там (рядом собеседником)
;そちら;та сторона, путь (рядом с собеседником)
;そっち;та сторона, туда
外;そと;снаружи
;その;этот… (рядом с собеседником)
側;そば;рядом, возле, поблизости
空;そら;небо
;それ;это (рядом с собеседником)
;それから;затем
;それでは;в таком случае
〜台;だい;сч. суф. для механизмов, подставка
大学;だいがく;университет
大使館;たいしかん;посольство
大丈夫;だいじょうぶ;все в порядке
大好き;だいすき;очень люблю
大切;たいせつ;важный
大抵;たいてい;большей частью, обычно
台所;だいどころ;кухня
;たいへん;очень, ужасно
高い;たかい;высокий, дорогой
沢山;たくさん;много
;タクシー;такси
出す;だす;вынимать
〜達;たち;суф. мн. числа людей
立つ;たつ;стоять, вставать
建物;たてもの;здание, строение
楽しい;たのしい;приятный
頼む;たのむ;просить, поручать
煙草;たばこ;сигареты
多分;たぶん;наверное, вероятно
食べ物;たべもの;еда
食べる;たべる;кушать, есть
卵;たまご;яйцо
誰;だれ;кто
誕生日;たんじょうび;день рождения
段々;だんだん;постепенно
小さい・小さな;ちいさい・ちいさな;маленький
近い;ちかい;близкий
違う;ちがう;отличаться, нет!
近く;ちかく;близко, поблизости
地下鉄;ちかてつ;метро
地図;ちず;карта
父;ちち;отец
茶色;ちゃいろ;светло-коричневый цвет
茶碗;ちゃわん;чайная чашка (в форме пиалы)
〜中;ちゅう;в течение…, во время…
丁度;ちょうど;как раз, точно, ровно
一寸;ちょっと;немного, немножко, чуть-чуть
一日;ついたち;первое число месяца
使う;つかう;использовать, применять
疲れる;つかれる;уставать
次ぎ;つぎ;следующий
着く;つく;прибывать, занимать место
机;つくえ;стол
作る;つくる;делать, изготовлять
点ける;つける;зажигать, включать (свет, электричество)
勤める;つとめる;служить, исполнять обязанности
詰らない;つまらない;бесполезный, скучный
冷たい;つめたい;холодный
強い;つよい;сильный
手;て;рука
;テープ;лента, магнитная пленка
;テーブル;стол
;テープレコーダー;магнитофон
出掛ける;でかける;выходить, отправляться
手紙;てがみ;письмо
出来る;できる;мочь
出口;でぐち;выход
;テスト;тест
;では;ну, тогда, значит, в таком случае
お元気で;おげんきで;берегите себя!
;デパート;универмаг
;でも;но
出る;でる;выходить, появляться
;テレビ;телевизор
天気;てんき;погода
電気;でんき;электричество, свет
電車;でんしゃ;электричка
電話;でんわ;телефон
戸;と;японская дверь
〜度;ど;…градусов, …раз
;ドア;дверь (западная)
;トイレ;туалет
;どう;как? (субъективное мнение)
;どうして;почему?, каким образом? (как случилось)
;どうぞ;пожалуйста
;どうぞよろしく;приятно познакомиться (в конце представления)
動物;どうぶつ;животное
;どうも;очень, спасибо
;どうもありがとうございます;большое спасибо
十;とお;десять
遠い;とおい;далекий
十日;とおか;десятое число, десять дней
時々;ときどき;иногда
時計;とけい;часы
;どこ;где?
所;ところ;место
年;とし;год
図書館;としょかん;библиотека
何方;どちら;где, который, кто
;とても;очень
;どなた;вежливо кто?
隣り;となり;соседний, по соседству
;どの;какой…, который…
飛ぶ;とぶ;лететь, прыгать
止まる;とまる;останавливаться, прекращаться
友達;ともだち;друг
土曜日;どようび;суббота
鳥;とり;птица
鳥肉;とりにく;курятина, мясо птицы
取る;とる;брать
撮る;とる;фотографировать
;どれ;какой, который (из более чем двух предметов)
;どんな;какой
無い;ない;нет, не быть, не иметься
;ナイフ;нож
中;なか;середина, внутри, в
長い;ながい;длинный
鳴く;なく;чирикать, мычать, издавать звук (о животных)
;なぜ;почему
夏;なつ;лето
夏休み;なつやすみ;летние каникулы
;など;и так далее
七つ;ななつ;семь
何;なに・なん;что?
七日;なのか;семь дней, седьмое число месяца
名前;なまえ;имя
習う;ならう;учиться, изучать
並ぶ;ならぶ;стоять в ряд, быть подобным
並べる;ならべる;ставить в ряд
;なる;становиться, делаться
二;に;два
賑やか;にぎやか;оживленный, многолюдный
肉;にく;мясо
西;にし;запад
